ReturnDate,ReturnQuantity,Region,Country,Continent,ProductSKU,ProductName,ProductCost,ProductPrice
1/18/2015,1,Australia,Australia,Pacific,BK-R93R-48,"Road-150 Red, 48",2171.2942,3578.27
1/18/2015,1,United Kingdom,United Kingdom,Europe,BK-R93R-62,"Road-150 Red, 62",2171.2942,3578.27
1/21/2015,1,Germany,Germany,Europe,BK-M82S-44,"Mountain-100 Silver, 44",1912.1544,3399.99
1/22/2015,1,Southwest,United States,North America,BK-R93R-44,"Road-150 Red, 44",2171.2942,3578.27
02-02-2015,1,Canada,Canada,North America,BK-R93R-48,"Road-150 Red, 48",2171.2942,3578.27
2/15/2015,1,Northwest,United States,North America,BK-R93R-48,"Road-150 Red, 48",2171.2942,3578.27
2/19/2015,1,Australia,Australia,Pacific,BK-R93R-44,"Road-150 Red, 44",2171.2942,3578.27
2/24/2015,1,Germany,Germany,Europe,BK-R93R-56,"Road-150 Red, 56",2171.2942,3578.27
03-08-2015,1,Germany,Germany,Europe,BK-M82B-44,"Mountain-100 Black, 44",1898.0944,3374.99
3/13/2015,1,Australia,Australia,Pacific,BK-M82B-44,"Mountain-100 Black, 44",1898.0944,3374.99
3/14/2015,1,Southwest,United States,North America,BK-M82S-44,"Mountain-100 Silver, 44",1912.1544,3399.99
3/15/2015,1,Australia,Australia,Pacific,BK-R50B-48,"Road-650 Black, 48",413.1463,699.0982
3/22/2015,1,Southwest,United States,North America,BK-R93R-44,"Road-150 Red, 44",2171.2942,3578.27
3/26/2015,1,United Kingdom,United Kingdom,Europe,BK-R93R-48,"Road-150 Red, 48",2171.2942,3578.27
3/28/2015,1,France,France,Europe,BK-R93R-48,"Road-150 Red, 48",2171.2942,3578.27
3/28/2015,1,Australia,Australia,Pacific,BK-R93R-56,"Road-150 Red, 56",2171.2942,3578.27
3/29/2015,1,Australia,Australia,Pacific,BK-R93R-44,"Road-150 Red, 44",2171.2942,3578.27
04-01-2015,1,Germany,Germany,Europe,BK-R93R-44,"Road-150 Red, 44",2171.2942,3578.27
04-07-2015,1,Australia,Australia,Pacific,BK-R93R-44,"Road-150 Red, 44",2171.2942,3578.27
04-07-2015,1,Australia,Australia,Pacific,BK-M82B-48,"Mountain-100 Black, 48",1898.0944,3374.99
04-09-2015,1,Australia,Australia,Pacific,BK-R93R-44,"Road-150 Red, 44",2171.2942,3578.27
04-10-2015,1,Australia,Australia,Pacific,BK-R50R-44,"Road-650 Red, 44",413.1463,699.0982
4/15/2015,1,Australia,Australia,Pacific,BK-R93R-48,"Road-150 Red, 48",2171.2942,3578.27
4/16/2015,1,Australia,Australia,Pacific,BK-M82B-42,"Mountain-100 Black, 42",1898.0944,3374.99
4/20/2015,1,Australia,Australia,Pacific,BK-R93R-62,"Road-150 Red, 62",2171.2942,3578.27
4/21/2015,1,Australia,Australia,Pacific,BK-R93R-48,"Road-150 Red, 48",2171.2942,3578.27
4/25/2015,1,Southwest,United States,North America,BK-R50R-62,"Road-650 Red, 62",413.1463,699.0982
4/27/2015,1,Northwest,United States,North America,BK-R93R-56,"Road-150 Red, 56",2171.2942,3578.27
4/29/2015,1,Canada,Canada,North America,BK-R93R-62,"Road-150 Red, 62",2171.2942,3578.27
4/29/2015,1,Australia,Australia,Pacific,BK-M82B-38,"Mountain-100 Black, 38",1898.0944,3374.99
4/30/2015,1,Germany,Germany,Europe,BK-R50R-52,"Road-650 Red, 52",413.1463,699.0982
05-01-2015,1,Southwest,United States,North America,BK-R93R-48,"Road-150 Red, 48",2171.2942,3578.27
05-06-2015,1,Australia,Australia,Pacific,BK-R50R-62,"Road-650 Red, 62",413.1463,699.0982
05-07-2015,1,Australia,Australia,Pacific,BK-M82B-48,"Mountain-100 Black, 48",1898.0944,3374.99
5/13/2015,1,Northwest,United States,North America,BK-R93R-62,"Road-150 Red, 62",2171.2942,3578.27
5/14/2015,1,France,France,Europe,BK-R93R-52,"Road-150 Red, 52",2171.2942,3578.27
5/16/2015,1,Canada,Canada,North America,BK-R93R-52,"Road-150 Red, 52",2171.2942,3578.27
5/16/2015,1,France,France,Europe,BK-R93R-52,"Road-150 Red, 52",2171.2942,3578.27
5/22/2015,1,Australia,Australia,Pacific,BK-R93R-56,"Road-150 Red, 56",2171.2942,3578.27
5/24/2015,1,Germany,Germany,Europe,BK-R50R-60,"Road-650 Red, 60",413.1463,699.0982
5/30/2015,1,Northwest,United States,North America,BK-R93R-52,"Road-150 Red, 52",2171.2942,3578.27
5/30/2015,1,Southwest,United States,North America,BK-R93R-56,"Road-150 Red, 56",2171.2942,3578.27
06-05-2015,1,Southwest,United States,North America,BK-R93R-52,"Road-150 Red, 52",2171.2942,3578.27
06-07-2015,1,Southwest,United States,North America,BK-R50B-52,"Road-650 Black, 52",413.1463,699.0982
6/20/2015,1,Australia,Australia,Pacific,BK-M82S-48,"Mountain-100 Silver, 48",1912.1544,3399.99
6/24/2015,1,Australia,Australia,Pacific,BK-R50R-58,"Road-650 Red, 58",413.1463,699.0982
07-03-2015,1,Southwest,United States,North America,BK-R89B-44,"Road-250 Black, 44",1320.6838,2181.5625
07-11-2015,1,Germany,Germany,Europe,BK-R64Y-44,"Road-550-W Yellow, 44",605.6492,1000.4375
7/22/2015,1,Germany,Germany,Europe,BK-R89B-58,"Road-250 Black, 58",1320.6838,2181.5625
8/14/2015,1,Canada,Canada,North America,BK-R89B-52,"Road-250 Black, 52",1320.6838,2181.5625
8/15/2015,1,Northwest,United States,North America,BK-R89B-52,"Road-250 Black, 52",1320.6838,2181.5625
8/15/2015,1,Germany,Germany,Europe,BK-R50R-48,"Road-650 Red, 48",413.1463,699.0982
8/26/2015,1,Southwest,United States,North America,BK-R64Y-44,"Road-550-W Yellow, 44",605.6492,1000.4375
8/28/2015,1,Southwest,United States,North America,BK-R89R-52,"Road-250 Red, 52",1518.7864,2443.35
8/31/2015,1,United Kingdom,United Kingdom,Europe,BK-R89B-44,"Road-250 Black, 44",1320.6838,2181.5625
09-03-2015,1,Australia,Australia,Pacific,BK-R89R-48,"Road-250 Red, 48",1518.7864,2443.35
09-10-2015,1,Northwest,United States,North America,BK-M68S-42,"Mountain-200 Silver, 42",1117.8559,2071.4196
10-03-2015,1,Northwest,United States,North America,BK-M68S-38,"Mountain-200 Silver, 38",1117.8559,2071.4196
10-07-2015,1,Australia,Australia,Pacific,BK-M68S-38,"Mountain-200 Silver, 38",1117.8559,2071.4196
10-08-2015,1,United Kingdom,United Kingdom,Europe,BK-M68S-42,"Mountain-200 Silver, 42",1117.8559,2071.4196
10-12-2015,1,Australia,Australia,Pacific,BK-R89B-58,"Road-250 Black, 58",1320.6838,2181.5625
10/13/2015,2,Australia,Australia,Pacific,BK-M68S-38,"Mountain-200 Silver, 38",1117.8559,2071.4196
10/23/2015,1,Australia,Australia,Pacific,BK-M68S-42,"Mountain-200 Silver, 42",1117.8559,2071.4196
10/25/2015,1,Germany,Germany,Europe,BK-R50B-60,"Road-650 Black, 60",413.1463,699.0982
10/27/2015,1,Canada,Canada,North America,BK-R89R-44,"Road-250 Red, 44",1518.7864,2443.35
10/28/2015,1,Germany,Germany,Europe,BK-R89B-44,"Road-250 Black, 44",1320.6838,2181.5625
10/30/2015,1,France,France,Europe,BK-R89R-52,"Road-250 Red, 52",1518.7864,2443.35
11/16/2015,1,Germany,Germany,Europe,BK-R89B-58,"Road-250 Black, 58",1320.6838,2181.5625
11/20/2015,1,Germany,Germany,Europe,BK-M68B-42,"Mountain-200 Black, 42",1105.81,2049.0982
11/23/2015,1,Australia,Australia,Pacific,BK-R50R-44,"Road-650 Red, 44",413.1463,699.0982
11/24/2015,1,Northwest,United States,North America,BK-R50R-52,"Road-650 Red, 52",413.1463,699.0982
11/27/2015,1,United Kingdom,United Kingdom,Europe,BK-R50R-58,"Road-650 Red, 58",413.1463,699.0982
12-01-2015,1,United Kingdom,United Kingdom,Europe,BK-M68S-46,"Mountain-200 Silver, 46",1117.8559,2071.4196
12-04-2015,1,Southwest,United States,North America,BK-R50R-62,"Road-650 Red, 62",413.1463,699.0982
12-05-2015,1,Canada,Canada,North America,BK-R64Y-48,"Road-550-W Yellow, 48",605.6492,1000.4375
12-06-2015,1,United Kingdom,United Kingdom,Europe,BK-M68B-42,"Mountain-200 Black, 42",1105.81,2049.0982
12-10-2015,1,Australia,Australia,Pacific,BK-R50B-60,"Road-650 Black, 60",413.1463,699.0982
12-11-2015,1,Australia,Australia,Pacific,BK-R89B-48,"Road-250 Black, 48",1320.6838,2181.5625
12-12-2015,1,Germany,Germany,Europe,BK-R89B-52,"Road-250 Black, 52",1320.6838,2181.5625
12-12-2015,1,Australia,Australia,Pacific,BK-M68B-46,"Mountain-200 Black, 46",1105.81,2049.0982
12-12-2015,1,Australia,Australia,Pacific,BK-R89B-58,"Road-250 Black, 58",1320.6838,2181.5625
12/14/2015,1,Australia,Australia,Pacific,BK-R89B-52,"Road-250 Black, 52",1320.6838,2181.5625
12/16/2015,1,Southwest,United States,North America,BK-R89B-52,"Road-250 Black, 52",1320.6838,2181.5625
12/18/2015,1,Southwest,United States,North America,BK-M68S-38,"Mountain-200 Silver, 38",1117.8559,2071.4196
12/25/2015,1,Germany,Germany,Europe,BK-R64Y-48,"Road-550-W Yellow, 48",605.6492,1000.4375
01-07-2016,1,Australia,Australia,Pacific,BK-M68B-46,"Mountain-200 Black, 46",1105.81,2049.0982
01-09-2016,1,Germany,Germany,Europe,BK-R89B-44,"Road-250 Black, 44",1320.6838,2181.5625
01-10-2016,1,Australia,Australia,Pacific,BK-R64Y-38,"Road-550-W Yellow, 38",605.6492,1000.4375
1/16/2016,1,France,France,Europe,BK-R89R-58,"Road-250 Red, 58",1320.6838,2181.5625
1/23/2016,1,Southwest,United States,North America,BK-R50B-58,"Road-650 Black, 58",413.1463,699.0982
1/23/2016,1,Australia,Australia,Pacific,BK-M68S-42,"Mountain-200 Silver, 42",1117.8559,2071.4196
1/26/2016,1,Australia,Australia,Pacific,BK-R50R-52,"Road-650 Red, 52",413.1463,699.0982
1/31/2016,1,Southwest,United States,North America,BK-M68B-42,"Mountain-200 Black, 42",1105.81,2049.0982
02-01-2016,1,Northwest,United States,North America,BK-M68S-42,"Mountain-200 Silver, 42",1117.8559,2071.4196
02-12-2016,1,Australia,Australia,Pacific,BK-R50R-52,"Road-650 Red, 52",413.1463,699.0982
2/14/2016,1,Southwest,United States,North America,BK-R64Y-38,"Road-550-W Yellow, 38",605.6492,1000.4375
2/20/2016,1,Australia,Australia,Pacific,BK-R50R-48,"Road-650 Red, 48",413.1463,699.0982
2/20/2016,1,Australia,Australia,Pacific,BK-R89B-52,"Road-250 Black, 52",1320.6838,2181.5625
2/22/2016,1,Germany,Germany,Europe,BK-R89R-48,"Road-250 Red, 48",1518.7864,2443.35
2/22/2016,1,Australia,Australia,Pacific,BK-M68B-46,"Mountain-200 Black, 46",1105.81,2049.0982
2/25/2016,1,Australia,Australia,Pacific,BK-R89R-52,"Road-250 Red, 52",1518.7864,2443.35
03-08-2016,1,Australia,Australia,Pacific,BK-M68S-38,"Mountain-200 Silver, 38",1117.8559,2071.4196
03-12-2016,1,Northwest,United States,North America,BK-R50B-62,"Road-650 Black, 62",413.1463,699.0982
3/18/2016,1,France,France,Europe,BK-R89R-52,"Road-250 Red, 52",1518.7864,2443.35
3/20/2016,1,Australia,Australia,Pacific,BK-M68B-42,"Mountain-200 Black, 42",1105.81,2049.0982
3/21/2016,1,Canada,Canada,North America,BK-R50R-52,"Road-650 Red, 52",413.1463,699.0982
3/24/2016,1,France,France,Europe,BK-R50R-52,"Road-650 Red, 52",413.1463,699.0982
3/29/2016,1,Australia,Australia,Pacific,BK-R89B-48,"Road-250 Black, 48",1320.6838,2181.5625
